Candidate_ID,Candidate_Name,Parent_Seed_ID,Parent_Name,Transformation_Code,Design_Change,Attachment_Position,Design_Rationale,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Parent_Tanimoto_r3,Max_Train_Tanimoto_r3,Risk_Flags
CAND_R2_029,CTP-DOPO-boronic-acid,TRAIN_041,CTP-DOPO,boronic_acid,Added boronic_acid at aromatic atom 157.,peripheral_aromatic,Introduced one aryl boronic acid group to create a P–B candidate.,aryl-boronic-acid,B(OH)2,Additive,C,0.7978723404255319,0.7978723404255319,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_030,CTP-DOPO-glycidyloxy,TRAIN_041,CTP-DOPO,glycidyloxy,Added glycidyloxy at aromatic atom 157.,peripheral_aromatic,Introduced one glycidyl ether group for co-curing with the epoxy hardener.,aryl-glycidyl-ether,epoxy,Co-curing,C,0.7142857142857143,0.7142857142857143,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_031,CTP-DOPO-OH-glycidyl-all,TRAIN_041,CTP-DOPO,OH_glycidyl_all,Converted one OH group to a glycidyl ether. Converted all OH groups.,all_OH,Converted one OH group to a glycidyl ether. All OH sites were changed.,OH-to-glycidyl-ether-all,epoxy,Co-curing,C,0.7311827956989247,0.7311827956989247,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_032,CTP-DOPO-OH-methyl,TRAIN_041,CTP-DOPO,OH_methyl,Converted one OH group to a methyl ether. Regioisomer 1.,OH_site_1,Converted one OH group to a methyl ether.,OH-to-methyl-ether,none,Additive,C,0.9146341463414634,0.9146341463414634,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_033,CTP-DOPO-OH-methyl-all,TRAIN_041,CTP-DOPO,OH_methyl_all,Converted one OH group to a methyl ether. Converted all OH groups.,all_OH,Converted one OH group to a methyl ether. All OH sites were changed.,OH-to-methyl-ether-all,none,Additive,C,0.8292682926829268,0.8292682926829268,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_034,CTP-DOPO-OH-acetyl,TRAIN_041,CTP-DOPO,OH_acetyl,Converted one OH group to an acetate. Regioisomer 1.,OH_site_1,Converted one OH group to an acetate.,OH-to-acetate,none,Additive,C,0.8928571428571429,0.8928571428571429,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_035,CTP-DOPO-OH-acetyl-all,TRAIN_041,CTP-DOPO,OH_acetyl_all,Converted one OH group to an acetate. Converted all OH groups.,all_OH,Converted one OH group to an acetate. All OH sites were changed.,OH-to-acetate-all,none,Additive,C,0.8214285714285714,0.8214285714285714,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_036,CTP-DOPO-OH-allyl,TRAIN_041,CTP-DOPO,OH_allyl,Converted one OH group to an allyl ether; no EP reactivity is assumed. Regioisomer 1.,OH_site_1,Converted one OH group to an allyl ether; no EP reactivity is assumed.,OH-to-allyl-ether,allyl,Additive,C,0.8241758241758241,0.8241758241758241,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_037,CTP-DOPO-OH-allyl-all,TRAIN_041,CTP-DOPO,OH_allyl_all,Converted one OH group to an allyl ether; no EP reactivity is assumed. Converted all OH groups.,all_OH,Converted one OH group to an allyl ether; no EP reactivity is assumed. All OH sites were changed.,OH-to-allyl-ether-all,allyl,Additive,C,0.7472527472527473,0.7472527472527473,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_038,CTP-DOPO-NH-methyl,TRAIN_041,CTP-DOPO,NH_methyl,"Methylated one free N–H site, reducing curing activity. Regioisomer 1.",NH_site_1,"Methylated one free N–H site, reducing curing activity.",N-methyl,none,Additive,C,0.7731958762886598,0.7731958762886598,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_039,CTP-DOPO-NH-methyl-all,TRAIN_041,CTP-DOPO,NH_methyl_all,"Methylated one free N–H site, reducing curing activity. Converted all N–H sites.",all_NH,"Methylated one free N–H site, reducing curing activity. All free N–H sites were changed.",N-methyl-all,none,Additive,C,0.5773195876288659,0.5773195876288659,high molecular weight; high DOPO count; large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_040,CTP-DOPO-NH-hydroxyethyl,TRAIN_041,CTP-DOPO,NH_hydroxyethyl,Introduced one hydroxyethyl substituent on an N–H site. Regioisomer 1.,NH_site_1,Introduced one hydroxyethyl substituent on an N–H site.,N-hydroxyethyl,OH,Additive,C,0.7425742574257426,0.7425742574257426,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_041,CTP-DOPO-NH-hydroxyethyl-all,TRAIN_041,CTP-DOPO,NH_hydroxyethyl_all,Introduced one hydroxyethyl substituent on an N–H site. Converted all N–H sites.,all_NH,Introduced one hydroxyethyl substituent on an N–H site. All free N–H sites were changed.,N-hydroxyethyl-all,OH,Additive,C,0.5544554455445545,0.5544554455445545,high molecular weight; high DOPO count; large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_042,CTP-DOPO-NH-glycidyl,TRAIN_041,CTP-DOPO,NH_glycidyl,Introduced one glycidyl substituent on an N–H site. Regioisomer 1.,NH_site_1,Introduced one glycidyl substituent on an N–H site.,N-glycidyl,epoxy,Co-curing,C,0.7075471698113207,0.7075471698113207,high molecular weight; high DOPO count; exploratory only; excluded from formal screening
CAND_R2_043,CTP-DOPO-NH-glycidyl-all,TRAIN_041,CTP-DOPO,NH_glycidyl_all,Introduced one glycidyl substituent on an N–H site. Converted all N–H sites.,all_NH,Introduced one glycidyl substituent on an N–H site. All free N–H sites were changed.,N-glycidyl-all,epoxy,Co-curing,C,0.5283018867924528,0.5283018867924528,high molecular weight; high DOPO count; large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_044,PBD-amino,TRAIN_020,PBD,amino,Added amino at aromatic atom 28.,peripheral_aromatic,Introduced one aryl amino group to add a P–N motif and a potential epoxy co-curing site.,aryl-amino,NH2,Co-curing,B,0.83,0.83,none
CAND_R2_045,PBD-hydroxy,TRAIN_020,PBD,hydroxy,Added hydroxy at aromatic atom 28.,peripheral_aromatic,Introduced one phenolic hydroxyl group; kept as Additive unless a validated pre-reaction route is available.,aryl-hydroxy,OH,Additive,B,0.8383838383838383,0.8383838383838383,none
CAND_R2_046,PBD-hydroxymethyl,TRAIN_020,PBD,hydroxymethyl,Added hydroxymethyl at aromatic atom 28.,peripheral_aromatic,Introduced one hydroxymethyl group to increase polarity; not automatically treated as an epoxy-reactive group.,aryl-hydroxymethyl,CH2OH,Additive,B,0.8137254901960784,0.8137254901960784,none
CAND_R2_047,PBD-carboxamide,TRAIN_020,PBD,carboxamide,Added carboxamide at aromatic atom 28.,peripheral_aromatic,"Introduced one primary carboxamide as a polar, hydrogen-bonding substituent.",aryl-carboxamide,amide,Additive,B,0.7980769230769231,0.7980769230769231,none
CAND_R2_048,PBD-boronic-acid,TRAIN_020,PBD,boronic_acid,Added boronic_acid at aromatic atom 28.,peripheral_aromatic,Introduced one aryl boronic acid group to create a P–B candidate.,aryl-boronic-acid,B(OH)2,Additive,B,0.8058252427184466,0.8058252427184466,none
CAND_R2_049,PBD-pinacol-boronate,TRAIN_020,PBD,pinacol_boronate,Added pinacol_boronate at aromatic atom 28.,peripheral_aromatic,Introduced one pinacol boronate to create a more protected P–B analogue.,aryl-pinacol-boronate,pinacol boronate,Additive,B,0.7477477477477478,0.7477477477477478,none
CAND_R2_050,PBD-trimethoxysilyl,TRAIN_020,PBD,trimethoxysilyl,Added trimethoxysilyl at aromatic atom 28.,peripheral_aromatic,Introduced one trialkoxysilane unit; secondary siloxane-network formation requires hydrolysis/condensation conditions.,aryl-trimethoxysilyl,Si(OCH3)3,Additive + Secondary Crosslinking,B,0.7830188679245284,0.7830188679245284,none
CAND_R2_051,PBD-triethoxysilyl,TRAIN_020,PBD,triethoxysilyl,Added triethoxysilyl at aromatic atom 28.,peripheral_aromatic,Introduced one triethoxysilane unit as a P–Si candidate.,aryl-triethoxysilyl,Si(OC2H5)3,Additive + Secondary Crosslinking,B,0.7545454545454545,0.7545454545454545,none
CAND_R2_052,PBD-disiloxane,TRAIN_020,PBD,disiloxane,Added disiloxane at aromatic atom 28.,peripheral_aromatic,Introduced a short disiloxane substituent without assuming epoxy-network reactivity.,short-disiloxane,none,Additive,B,0.7757009345794392,0.7757009345794392,none
CAND_R2_053,PBD-glycidyloxy,TRAIN_020,PBD,glycidyloxy,Added glycidyloxy at aromatic atom 28.,peripheral_aromatic,Introduced one glycidyl ether group for co-curing with the epoxy hardener.,aryl-glycidyl-ether,epoxy,Co-curing,B,0.7545454545454545,0.7545454545454545,none
CAND_R2_054,PBD-diaminotriazine,TRAIN_020,PBD,diaminotriazine,Added diaminotriazine at aromatic atom 28.,peripheral_aromatic,Introduced one diamino-triazine substituent to add nitrogen and potential co-curing sites.,"diamino-1,3,5-triazine",NH2,Co-curing,B,0.7545454545454545,0.7545454545454545,none
CAND_R2_055,PBD-piperazine,TRAIN_020,PBD,piperazine,Added piperazine at aromatic atom 28.,peripheral_aromatic,Introduced a monosubstituted piperazine unit retaining one secondary N–H site.,piperazine,NH,Co-curing,B,0.7410714285714286,0.7410714285714286,none
CAND_R2_056,PBD-benzamide-linker,TRAIN_020,PBD,benzamide_linker,Added benzamide_linker at aromatic atom 28.,peripheral_aromatic,Introduced a benzamide substituent; amide nitrogen is not treated as a normal amine curing site.,benzamide,amide,Additive,B,0.7280701754385965,0.7280701754385965,none
CAND_R2_057,PBD-phenyl,TRAIN_020,PBD,phenyl,Added phenyl at aromatic atom 28.,peripheral_aromatic,Extended the aromatic linker by one phenyl group.,phenyl,none,Additive,B,0.7904761904761904,0.7904761904761904,none
CAND_R2_058,PBD-biphenyl,TRAIN_020,PBD,biphenyl,Added biphenyl at aromatic atom 28.,peripheral_aromatic,Extended the rigid aromatic linker to a biphenyl unit.,biphenyl,none,Additive,B,0.7477477477477478,0.7477477477477478,none
CAND_R2_059,PBD-nitrile-to-amide,TRAIN_020,PBD,nitrile_to_amide,Converted one nitrile to a primary amide. Regioisomer 2.,site_2,Converted one nitrile to a primary amide.,nitrile-to-amide,amide,Additive,B,0.8469387755102041,0.8469387755102041,none
CAND_R2_060,PBD-nitrile-to-amide-all,TRAIN_020,PBD,nitrile_to_amide_all,Converted one nitrile to a primary amide. Converted all matching groups.,all_sites,Converted one nitrile to a primary amide. All equivalent sites were changed.,nitrile-to-amide-all,amide,Additive,B,0.68,0.68,candidate may be outside strict in-domain threshold
CAND_R2_061,PBD-nitrile-to-acid,TRAIN_020,PBD,nitrile_to_acid,Converted one nitrile to a carboxylic acid. Regioisomer 1.,site_1,Converted one nitrile to a carboxylic acid.,nitrile-to-carboxylic-acid,COOH,Additive,B,0.8645833333333334,0.8645833333333334,none
CAND_R2_062,PBD-nitrile-to-acid-2,TRAIN_020,PBD,nitrile_to_acid,Converted one nitrile to a carboxylic acid. Regioisomer 2.,site_2,Converted one nitrile to a carboxylic acid.,nitrile-to-carboxylic-acid,COOH,Additive,B,0.8556701030927835,0.8556701030927835,none
CAND_R2_063,PBD-nitrile-to-acid-all,TRAIN_020,PBD,nitrile_to_acid_all,Converted one nitrile to a carboxylic acid. Converted all matching groups.,all_sites,Converted one nitrile to a carboxylic acid. All equivalent sites were changed.,nitrile-to-carboxylic-acid-all,COOH,Additive,B,0.6868686868686869,0.6868686868686869,candidate may be outside strict in-domain threshold
CAND_R2_064,PBD-nitrile-to-aminomethyl,TRAIN_020,PBD,nitrile_to_aminomethyl,Reduced one nitrile to an aminomethyl group. Regioisomer 1.,site_1,Reduced one nitrile to an aminomethyl group.,nitrile-to-aminomethyl,NH2,Co-curing,B,0.8556701030927835,0.8556701030927835,none
CAND_R2_065,PBD-nitrile-to-aminomethyl-2,TRAIN_020,PBD,nitrile_to_aminomethyl,Reduced one nitrile to an aminomethyl group. Regioisomer 2.,site_2,Reduced one nitrile to an aminomethyl group.,nitrile-to-aminomethyl,NH2,Co-curing,B,0.8556701030927835,0.8556701030927835,none
CAND_R2_066,PBD-nitrile-to-aminomethyl-all,TRAIN_020,PBD,nitrile_to_aminomethyl_all,Reduced one nitrile to an aminomethyl group. Converted all matching groups.,all_sites,Reduced one nitrile to an aminomethyl group. All equivalent sites were changed.,nitrile-to-aminomethyl-all,NH2,Co-curing,B,0.6868686868686869,0.6868686868686869,candidate may be outside strict in-domain threshold
CAND_R2_067,PBD-NH-methyl,TRAIN_020,PBD,NH_methyl,"Methylated one free N–H site, reducing curing activity. Regioisomer 1.",NH_site_1,"Methylated one free N–H site, reducing curing activity.",N-methyl,none,Additive,B,0.7685185185185185,0.7685185185185185,none
CAND_R2_068,PBD-NH-methyl-all,TRAIN_020,PBD,NH_methyl_all,"Methylated one free N–H site, reducing curing activity. Converted all N–H sites.",all_NH,"Methylated one free N–H site, reducing curing activity. All free N–H sites were changed.",N-methyl-all,none,Additive,B,0.5648148148148148,0.5648148148148148,large structural change from parent; candidate may be outside strict in-domain threshold
CAND_R2_069,PBD-NH-hydroxyethyl,TRAIN_020,PBD,NH_hydroxyethyl,Introduced one hydroxyethyl substituent on an N–H site. Regioisomer 1.,NH_site_1,Introduced one hydroxyethyl substituent on an N–H site.,N-hydroxyethyl,OH,Additive,B,0.7345132743362832,0.7345132743362832,none
CAND_R2_070,PBD-NH-hydroxyethyl-all,TRAIN_020,PBD,NH_hydroxyethyl_all,Introduced one hydroxyethyl substituent on an N–H site. Converted all N–H sites.,all_NH,Introduced one hydroxyethyl substituent on an N–H site. All free N–H sites were changed.,N-hydroxyethyl-all,OH,Additive,C,0.5398230088495575,0.5398230088495575,large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_071,PBD-NH-glycidyl,TRAIN_020,PBD,NH_glycidyl,Introduced one glycidyl substituent on an N–H site. Regioisomer 1.,NH_site_1,Introduced one glycidyl substituent on an N–H site.,N-glycidyl,epoxy,Co-curing,B,0.7280701754385965,0.7280701754385965,none
CAND_R2_072,PBD-NH-glycidyl-all,TRAIN_020,PBD,NH_glycidyl_all,Introduced one glycidyl substituent on an N–H site. Converted all N–H sites.,all_NH,Introduced one glycidyl substituent on an N–H site. All free N–H sites were changed.,N-glycidyl-all,epoxy,Co-curing,C,0.5350877192982456,0.5350877192982456,large structural change from parent; candidate may be outside strict in-domain threshold; exploratory only; excluded from formal screening
CAND_R2_073,TDCA-DOPO-2-amino,TRAIN_136,TDCA-DOPO-2,amino,Added amino at aromatic atom 65.,peripheral_aromatic,Introduced one aryl amino group to add a P–N motif and a potential epoxy co-curing site.,aryl-amino,NH2,Co-curing,B,0.8591549295774648,0.8591549295774648,none
CAND_R2_074,TDCA-DOPO-2-hydroxy,TRAIN_136,TDCA-DOPO-2,hydroxy,Added hydroxy at aromatic atom 65.,peripheral_aromatic,Introduced one phenolic hydroxyl group; kept as Additive unless a validated pre-reaction route is available.,aryl-hydroxy,OH,Additive,B,0.8591549295774648,0.8591549295774648,none
CAND_R2_075,TDCA-DOPO-2-hydroxymethyl,TRAIN_136,TDCA-DOPO-2,hydroxymethyl,Added hydroxymethyl at aromatic atom 65.,peripheral_aromatic,Introduced one hydroxymethyl group to increase polarity; not automatically treated as an epoxy-reactive group.,aryl-hydroxymethyl,CH2OH,Additive,B,0.8243243243243243,0.8243243243243243,none
CAND_R2_076,TDCA-DOPO-2-carboxamide,TRAIN_136,TDCA-DOPO-2,carboxamide,Added carboxamide at aromatic atom 65.,peripheral_aromatic,"Introduced one primary carboxamide as a polar, hydrogen-bonding substituent.",aryl-carboxamide,amide,Additive,B,0.8133333333333334,0.8133333333333334,none
CAND_R2_077,TDCA-DOPO-2-boronic-acid,TRAIN_136,TDCA-DOPO-2,boronic_acid,Added boronic_acid at aromatic atom 65.,peripheral_aromatic,Introduced one aryl boronic acid group to create a P–B candidate.,aryl-boronic-acid,B(OH)2,Additive,B,0.8243243243243243,0.8243243243243243,none
CAND_R2_078,TDCA-DOPO-2-pinacol-boronate,TRAIN_136,TDCA-DOPO-2,pinacol_boronate,Added pinacol_boronate at aromatic atom 65.,peripheral_aromatic,Introduced one pinacol boronate to create a more protected P–B analogue.,aryl-pinacol-boronate,pinacol boronate,Additive,B,0.7439024390243902,0.7439024390243902,none
CAND_R2_079,TDCA-DOPO-2-trimethoxysilyl,TRAIN_136,TDCA-DOPO-2,trimethoxysilyl,Added trimethoxysilyl at aromatic atom 65.,peripheral_aromatic,Introduced one trialkoxysilane unit; secondary siloxane-network formation requires hydrolysis/condensation conditions.,aryl-trimethoxysilyl,Si(OCH3)3,Additive + Secondary Crosslinking,B,0.7922077922077922,0.7922077922077922,none
CAND_R2_080,TDCA-DOPO-2-triethoxysilyl,TRAIN_136,TDCA-DOPO-2,triethoxysilyl,Added triethoxysilyl at aromatic atom 65.,peripheral_aromatic,Introduced one triethoxysilane unit as a P–Si candidate.,aryl-triethoxysilyl,Si(OC2H5)3,Additive + Secondary Crosslinking,B,0.7530864197530864,0.7530864197530864,none
CAND_R2_081,TDCA-DOPO-2-disiloxane,TRAIN_136,TDCA-DOPO-2,disiloxane,Added disiloxane at aromatic atom 65.,peripheral_aromatic,Introduced a short disiloxane substituent without assuming epoxy-network reactivity.,short-disiloxane,none,Additive,B,0.7721518987341772,0.7721518987341772,none
CAND_R2_082,TDCA-DOPO-2-glycidyloxy,TRAIN_136,TDCA-DOPO-2,glycidyloxy,Added glycidyloxy at aromatic atom 65.,peripheral_aromatic,Introduced one glycidyl ether group for co-curing with the epoxy hardener.,aryl-glycidyl-ether,epoxy,Co-curing,B,0.7439024390243902,0.7439024390243902,none
CAND_R2_083,TDCA-DOPO-2-diaminotriazine,TRAIN_136,TDCA-DOPO-2,diaminotriazine,Added diaminotriazine at aromatic atom 65.,peripheral_aromatic,Introduced one diamino-triazine substituent to add nitrogen and potential co-curing sites.,"diamino-1,3,5-triazine",NH2,Co-curing,B,0.7349397590361446,0.7349397590361446,none
