Candidate_ID,Candidate_Name,SMILES_raw,Source_Type,Reference_ID,Design_Family,DOPO_Count,Linker_Type,Reactive_Group,Preparation_Type,Synthesis_Level,Notes
CAND_R2_011,APN-DOPO-diaminotriazine,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(-c2nc(N)nc(N)n2)c1C#N,designed,Designed,P-N,1,"diamino-1,3,5-triazine",NH2,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added diaminotriazine at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.648; Max_Train_Tanimoto_r3=0.648; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_012,APN-DOPO-piperazine,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(N2CCNCC2)c1C#N,designed,Designed,P-N,1,piperazine,NH,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added piperazine at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.626; Max_Train_Tanimoto_r3=0.626; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_013,APN-DOPO-benzamide-linker,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(NC(=O)c2ccccc2)c1C#N,designed,Designed,P-N,1,benzamide,amide,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added benzamide_linker at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.615; Max_Train_Tanimoto_r3=0.615; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_014,APN-DOPO-phenyl,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(-c2ccccc2)c1C#N,designed,Designed,P-N,1,phenyl,none,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added phenyl at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.670; Max_Train_Tanimoto_r3=0.670; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_015,APN-DOPO-biphenyl,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc(-c2ccc(-c3ccccc3)cc2)c1C#N,designed,Designed,P-N,1,biphenyl,none,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Added biphenyl at aromatic atom 3.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.638; Max_Train_Tanimoto_r3=0.638; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_016,APN-DOPO-nitrile-to-amide,N#Cc1ccc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C(N)=O,designed,Designed,P-N,1,nitrile-to-amide,amide,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Converted one nitrile to a primary amide. Regioisomer 2.; Attachment=site_2; One-factor computational analogue. Parent_Tanimoto_r3=0.761; Max_Train_Tanimoto_r3=0.761; Risk=none. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_017,APN-DOPO-nitrile-to-amide-all,NC(=O)c1ccc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C(N)=O,designed,Designed,P-N,1,nitrile-to-amide-all,amide,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Converted one nitrile to a primary amide. Converted all matching groups.; Attachment=all_sites; One-factor computational analogue. Parent_Tanimoto_r3=0.663; Max_Train_Tanimoto_r3=0.663; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_018,APN-DOPO-nitrile-to-acid,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)ccc1C(=O)O,designed,Designed,P-N,1,nitrile-to-carboxylic-acid,COOH,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Converted one nitrile to a carboxylic acid. Regioisomer 1.; Attachment=site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.769; Max_Train_Tanimoto_r3=0.769; Risk=none. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_019,APN-DOPO-nitrile-to-acid-2,N#Cc1ccc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C(=O)O,designed,Designed,P-N,1,nitrile-to-carboxylic-acid,COOH,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Converted one nitrile to a carboxylic acid. Regioisomer 2.; Attachment=site_2; One-factor computational analogue. Parent_Tanimoto_r3=0.761; Max_Train_Tanimoto_r3=0.761; Risk=none. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_020,APN-DOPO-nitrile-to-acid-all,O=C(O)c1ccc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C(=O)O,designed,Designed,P-N,1,nitrile-to-carboxylic-acid-all,COOH,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Converted one nitrile to a carboxylic acid. Converted all matching groups.; Attachment=all_sites; One-factor computational analogue. Parent_Tanimoto_r3=0.670; Max_Train_Tanimoto_r3=0.670; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_021,APN-DOPO-nitrile-to-aminomethyl,N#Cc1cc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)ccc1CN,designed,Designed,P-N,1,nitrile-to-aminomethyl,NH2,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Reduced one nitrile to an aminomethyl group. Regioisomer 1.; Attachment=site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.769; Max_Train_Tanimoto_r3=0.769; Risk=none. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_022,APN-DOPO-nitrile-to-aminomethyl-2,N#Cc1ccc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1CN,designed,Designed,P-N,1,nitrile-to-aminomethyl,NH2,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Reduced one nitrile to an aminomethyl group. Regioisomer 2.; Attachment=site_2; One-factor computational analogue. Parent_Tanimoto_r3=0.769; Max_Train_Tanimoto_r3=0.769; Risk=none. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_023,APN-DOPO-nitrile-to-aminomethyl-all,NCc1ccc(Oc2cccc(NCP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1CN,designed,Designed,P-N,1,nitrile-to-aminomethyl-all,NH2,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Reduced one nitrile to an aminomethyl group. Converted all matching groups.; Attachment=all_sites; One-factor computational analogue. Parent_Tanimoto_r3=0.677; Max_Train_Tanimoto_r3=0.677; Risk=candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_024,APN-DOPO-NH-methyl,CN(CP1(=O)Oc2ccccc2-c2ccccc21)c1cccc(Oc2ccc(C#N)c(C#N)c2)c1,designed,Designed,P-N,1,N-methyl,none,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Methylated one free N–H site, reducing curing activity. Regioisomer 1.; Attachment=NH_site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.616; Max_Train_Tanimoto_r3=0.623; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_025,APN-DOPO-NH-hydroxyethyl,N#Cc1ccc(Oc2cccc(N(CCO)CP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,designed,Designed,P-N,1,N-hydroxyethyl,OH,Additive,B,"Parent=TRAIN_019 (APN-DOPO); Change=Introduced one hydroxyethyl substituent on an N–H site. Regioisomer 1.; Attachment=NH_site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.571; Max_Train_Tanimoto_r3=0.681; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_026,APN-DOPO-NH-glycidyl,N#Cc1ccc(Oc2cccc(N(CC3CO3)CP3(=O)Oc4ccccc4-c4ccccc43)c2)cc1C#N,designed,Designed,P-N,1,N-glycidyl,epoxy,Co-curing,B,"Parent=TRAIN_019 (APN-DOPO); Change=Introduced one glycidyl substituent on an N–H site. Regioisomer 1.; Attachment=NH_site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.575; Max_Train_Tanimoto_r3=0.655; Risk=large structural change from parent; candidate may be outside strict in-domain threshold. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_027,CTP-DOPO-amino,Nc1cc(NC(c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)ccc1O,designed,Designed,P-N,6,aryl-amino,NH2,Co-curing,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Added amino at aromatic atom 157.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.833; Max_Train_Tanimoto_r3=0.833; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_028,CTP-DOPO-hydroxy,O=P1(C(Nc2ccc(O)cc2)c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)c(O)c5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)Oc2ccccc2-c2ccccc21,designed,Designed,P-N,6,aryl-hydroxy,OH,Additive,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Added hydroxy at aromatic atom 157.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.852; Max_Train_Tanimoto_r3=0.852; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_029,CTP-DOPO-boronic-acid,O=P1(C(Nc2ccc(O)cc2)c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)c(B(O)O)c5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)Oc2ccccc2-c2ccccc21,designed,Designed,P-N-B,6,aryl-boronic-acid,B(OH)2,Additive,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Added boronic_acid at aromatic atom 157.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.798; Max_Train_Tanimoto_r3=0.798; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_030,CTP-DOPO-glycidyloxy,O=P1(C(Nc2ccc(O)cc2)c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)c(OCC6CO6)c5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)Oc2ccccc2-c2ccccc21,designed,Designed,P-N,6,aryl-glycidyl-ether,epoxy,Co-curing,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Added glycidyloxy at aromatic atom 157.; Attachment=peripheral_aromatic; One-factor computational analogue. Parent_Tanimoto_r3=0.714; Max_Train_Tanimoto_r3=0.714; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_031,CTP-DOPO-OH-glycidyl-all,O=P1(C(Nc2ccc(OCC3CO3)cc2)c2ccc(OP3(Oc4ccc(C(Nc5ccc(OCC6CO6)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(OCC6CO6)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(OCC6CO6)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(OCC6CO6)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(OCC6CO6)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)Oc2ccccc2-c2ccccc21,designed,Designed,P-N,6,OH-to-glycidyl-ether-all,epoxy,Co-curing,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Converted one OH group to a glycidyl ether. Converted all OH groups.; Attachment=all_OH; One-factor computational analogue. Parent_Tanimoto_r3=0.731; Max_Train_Tanimoto_r3=0.731; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_032,CTP-DOPO-OH-methyl,COc1ccc(NC(c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,designed,Designed,P-N,6,OH-to-methyl-ether,none,Additive,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Converted one OH group to a methyl ether. Regioisomer 1.; Attachment=OH_site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.915; Max_Train_Tanimoto_r3=0.915; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_033,CTP-DOPO-OH-methyl-all,COc1ccc(NC(c2ccc(OP3(Oc4ccc(C(Nc5ccc(OC)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(OC)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(OC)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(OC)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(OC)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,designed,Designed,P-N,6,OH-to-methyl-ether-all,none,Additive,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Converted one OH group to a methyl ether. Converted all OH groups.; Attachment=all_OH; One-factor computational analogue. Parent_Tanimoto_r3=0.829; Max_Train_Tanimoto_r3=0.829; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_034,CTP-DOPO-OH-acetyl,CC(=O)Oc1ccc(NC(c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,designed,Designed,P-N,6,OH-to-acetate,none,Additive,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Converted one OH group to an acetate. Regioisomer 1.; Attachment=OH_site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.893; Max_Train_Tanimoto_r3=0.893; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_035,CTP-DOPO-OH-acetyl-all,CC(=O)Oc1ccc(NC(c2ccc(OP3(Oc4ccc(C(Nc5ccc(OC(C)=O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(OC(C)=O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(OC(C)=O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(OC(C)=O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(OC(C)=O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,designed,Designed,P-N,6,OH-to-acetate-all,none,Additive,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Converted one OH group to an acetate. Converted all OH groups.; Attachment=all_OH; One-factor computational analogue. Parent_Tanimoto_r3=0.821; Max_Train_Tanimoto_r3=0.821; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
CAND_R2_036,CTP-DOPO-OH-allyl,C=CCOc1ccc(NC(c2ccc(OP3(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=NP(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)(Oc4ccc(C(Nc5ccc(O)cc5)P5(=O)Oc6ccccc6-c6ccccc65)cc4)=N3)cc2)P2(=O)Oc3ccccc3-c3ccccc32)cc1,designed,Designed,P-N,6,OH-to-allyl-ether,allyl,Additive,C,"Parent=TRAIN_041 (CTP-DOPO); Change=Converted one OH group to an allyl ether; no EP reactivity is assumed. Regioisomer 1.; Attachment=OH_site_1; One-factor computational analogue. Parent_Tanimoto_r3=0.824; Max_Train_Tanimoto_r3=0.824; Risk=high molecular weight; high DOPO count; exploratory only; excluded from formal screening. Synthesis route, regioselectivity, stability, equivalent balance and EP compatibility require manual review."
